Date,Open,High,Low,Close,Adj Close,Volume
2020-10-17,0.010604,0.011037,0.010537,0.010999,0.010999,91734772
2020-10-18,0.011000,0.011886,0.010983,0.011632,0.011632,113452510
2020-10-19,0.011642,0.011762,0.011320,0.011419,0.011419,107604470
2020-10-20,0.011406,0.011406,0.010745,0.010812,0.010812,105468328
2020-10-21,0.010793,0.011477,0.010766,0.011360,0.011360,122817647
2020-10-22,0.011364,0.012405,0.011176,0.012134,0.012134,145365395
2020-10-23,0.012141,0.012529,0.011719,0.012229,0.012229,162742078
2020-10-24,0.012229,0.012431,0.012051,0.012288,0.012288,117232879
2020-10-25,0.012288,0.012571,0.011763,0.011785,0.011785,114033432
2020-10-26,0.011785,0.011982,0.011193,0.011407,0.011407,128834450
2020-10-27,0.011407,0.011650,0.011083,0.011378,0.011378,126231355
2020-10-28,0.011378,0.011445,0.010451,0.010665,0.010665,101294007
2020-10-29,0.010665,0.010842,0.009961,0.010186,0.010186,100237964
2020-10-30,0.010186,0.010323,0.009598,0.010082,0.010082,105516095
2020-10-31,0.010082,0.010342,0.009844,0.009887,0.009887,82729395
2020-11-01,0.009887,0.010567,0.009848,0.010487,0.010487,100924051
2020-11-02,0.010487,0.010685,0.010022,0.010066,0.010066,90990993
2020-11-03,0.010066,0.010116,0.009207,0.009244,0.009244,112681393
2020-11-04,0.009244,0.009648,0.008917,0.009397,0.009397,186837224
2020-11-05,0.009397,0.009845,0.009203,0.009733,0.009733,106675560
2020-11-06,0.009733,0.011238,0.009683,0.011198,0.011198,121459485
2020-11-07,0.011198,0.012056,0.010217,0.010386,0.010386,142407994
2020-11-08,0.010386,0.011406,0.010235,0.011126,0.011126,93136127
2020-11-09,0.011126,0.011255,0.010441,0.011042,0.011042,100815590
2020-11-10,0.011042,0.011864,0.010944,0.011581,0.011581,108314647
2020-11-11,0.011581,0.011817,0.011387,0.011387,0.011387,84977252
2020-11-12,0.011387,0.011556,0.010537,0.010650,0.010650,111116318
2020-11-13,0.010650,0.011953,0.010568,0.011824,0.011824,126335276
2020-11-14,0.011824,0.011834,0.010937,0.011245,0.011245,106785377
2020-11-15,0.011245,0.011498,0.010804,0.011036,0.011036,78538611
2020-11-16,0.011036,0.011444,0.010875,0.011337,0.011337,86923617
2020-11-17,0.011407,0.012588,0.011374,0.012347,0.012347,134980934
2020-11-18,0.012347,0.012439,0.011370,0.011809,0.011809,114157136
2020-11-19,0.011809,0.011820,0.011170,0.011502,0.011502,92058853
2020-11-20,0.011502,0.012069,0.011441,0.012036,0.012036,97147586
2020-11-21,0.012036,0.014644,0.011747,0.014357,0.014357,198121403
2020-11-22,0.014357,0.014632,0.012791,0.013846,0.013846,167833255
2020-11-23,0.013846,0.016313,0.013662,0.016030,0.016030,225828726
2020-11-24,0.016025,0.017269,0.014994,0.016134,0.016134,299903264
2020-11-25,0.016134,0.018623,0.015785,0.016564,0.016564,330620766
2020-11-26,0.016567,0.017019,0.012523,0.014545,0.014545,308957024
2020-11-27,0.014570,0.015371,0.013697,0.014486,0.014486,181940348
2020-11-28,0.014485,0.016016,0.014107,0.015338,0.015338,167628547
2020-11-29,0.015348,0.015949,0.014774,0.015179,0.015179,147004346
2020-11-30,0.015185,0.016343,0.014877,0.015976,0.015976,168834435
2020-12-01,0.015975,0.016440,0.014392,0.014757,0.014757,169583249
2020-12-02,0.014757,0.016879,0.014459,0.016395,0.016395,192625527
2020-12-03,0.016400,0.017918,0.016077,0.017390,0.017390,230150041
2020-12-04,0.017391,0.017745,0.015493,0.015774,0.015774,171198723
2020-12-05,0.015758,0.017651,0.015509,0.017495,0.017495,177805737
2020-12-06,0.017491,0.017553,0.016558,0.017158,0.017158,157601280
2020-12-07,0.017152,0.018475,0.016529,0.018133,0.018133,239821926
2020-12-08,0.018137,0.018286,0.016054,0.016355,0.016355,206426111
2020-12-09,0.016350,0.017079,0.015138,0.016806,0.016806,196114387
2020-12-10,0.016801,0.016866,0.015654,0.015910,0.015910,132681911
2020-12-11,0.015909,0.015985,0.014969,0.015606,0.015606,145143480
2020-12-12,0.015599,0.016702,0.015594,0.016511,0.016511,137125280
2020-12-13,0.016514,0.016982,0.016246,0.016461,0.016461,137656568
2020-12-14,0.016463,0.016617,0.016137,0.016360,0.016360,125886668
2020-12-15,0.016361,0.016905,0.016054,0.016515,0.016515,132008815
2020-12-16,0.016513,0.017424,0.016244,0.017254,0.017254,183501677
2020-12-17,0.017264,0.018138,0.016509,0.017061,0.017061,207249390
2020-12-18,0.017074,0.017622,0.016651,0.017445,0.017445,143165132
2020-12-19,0.017441,0.018066,0.017205,0.017374,0.017374,155048740
2020-12-20,0.017372,0.017466,0.015841,0.016307,0.016307,154534880
2020-12-21,0.016310,0.016493,0.015163,0.015570,0.015570,150565040
2020-12-22,0.015560,0.016193,0.015021,0.015873,0.015873,142213567
2020-12-23,0.015865,0.016000,0.012039,0.013169,0.013169,200364780
2020-12-24,0.013182,0.015093,0.012692,0.014879,0.014879,185529576
2020-12-25,0.014880,0.015230,0.014243,0.014582,0.014582,137050817
2020-12-26,0.014587,0.017428,0.013679,0.016434,0.016434,236742947
2020-12-27,0.016435,0.017903,0.015904,0.016499,0.016499,332551861
2020-12-28,0.016512,0.020366,0.016349,0.020173,0.020173,375323740
2020-12-29,0.020153,0.021261,0.018705,0.021030,0.021030,532783085
2020-12-30,0.021062,0.021251,0.019177,0.020253,0.020253,264056953
2020-12-31,0.020245,0.020254,0.018413,0.018777,0.018777,202503470
2021-01-01,0.018778,0.020172,0.018544,0.019080,0.019080,216206840
2021-01-02,0.019081,0.021099,0.018550,0.019985,0.019985,278974618
2021-01-03,0.019993,0.026894,0.019818,0.025921,0.025921,697803740
2021-01-04,0.026094,0.027040,0.021485,0.024665,0.024665,550104075
2021-01-05,0.024650,0.029001,0.023242,0.027909,0.027909,584473737
2021-01-06,0.027917,0.032243,0.027364,0.030794,0.030794,693778828
2021-01-07,0.030831,0.031777,0.028066,0.028704,0.028704,483671516
2021-01-08,0.028717,0.028851,0.024649,0.027421,0.027421,460533295
2021-01-09,0.027368,0.030010,0.026345,0.028949,0.028949,364957889
2021-01-10,0.028929,0.030812,0.024680,0.027188,0.027188,432735973
2021-01-11,0.027169,0.027169,0.019640,0.024316,0.024316,543976370
2021-01-12,0.024330,0.025685,0.021840,0.022751,0.022751,356992485
2021-01-13,0.022817,0.026458,0.022021,0.026109,0.026109,326354830
2021-01-14,0.026094,0.026904,0.024801,0.025653,0.025653,300668175
2021-01-15,0.025677,0.026812,0.022982,0.025311,0.025311,360334051
2021-01-16,0.025303,0.028848,0.025303,0.026961,0.026961,411358441
2021-01-17,0.026948,0.028155,0.025118,0.027117,0.027117,339869496
2021-01-18,0.027121,0.030685,0.026348,0.030634,0.030634,464800968
2021-01-19,0.030676,0.031538,0.028134,0.029191,0.029191,369648075
2021-01-20,0.029156,0.034869,0.028681,0.034678,0.034678,848049808
2021-01-21,0.034699,0.035046,0.027592,0.027983,0.027983,728599501
2021-01-22,0.027969,0.032500,0.025299,0.031414,0.031414,554598017
2021-01-23,0.031373,0.031955,0.029298,0.030041,0.030041,306502547
2021-01-24,0.030037,0.031843,0.029655,0.030631,0.030631,296401335
2021-01-25,0.030621,0.032338,0.029576,0.029865,0.029865,325266056
2021-01-26,0.029842,0.030409,0.028214,0.029445,0.029445,270052220
2021-01-27,0.029444,0.029471,0.025806,0.026468,0.026468,328150323
2021-01-28,0.026467,0.028441,0.026048,0.028440,0.028440,344444774
2021-01-29,0.027441,0.029380,0.026571,0.027906,0.027906,482320158
2021-01-30,0.027895,0.028128,0.026480,0.026881,0.026881,301439857
2021-01-31,0.026873,0.027151,0.024705,0.025424,0.025424,295323698
2021-02-01,0.025423,0.029679,0.024484,0.029354,0.029354,508824740
2021-02-02,0.029352,0.029580,0.027871,0.028113,0.028113,350268370
2021-02-03,0.028117,0.030207,0.028054,0.029191,0.029191,330702839
2021-02-04,0.029187,0.029391,0.027127,0.027690,0.027690,335495298
2021-02-05,0.027703,0.032144,0.027703,0.032092,0.032092,444777137
2021-02-06,0.032096,0.032798,0.028437,0.029924,0.029924,468156153
2021-02-07,0.029937,0.030628,0.026967,0.028941,0.028941,371983288
2021-02-08,0.028961,0.032083,0.028502,0.031397,0.031397,485714644
2021-02-09,0.031405,0.036770,0.030600,0.035339,0.035339,736299741
2021-02-10,0.035347,0.038302,0.031891,0.035835,0.035835,703866103
2021-02-11,0.035746,0.043099,0.034771,0.042718,0.042718,860800984
2021-02-12,0.042636,0.059997,0.042545,0.054699,0.054699,1986922849
2021-02-13,0.054707,0.060444,0.049429,0.054703,0.054703,1470006365
2021-02-14,0.054665,0.058845,0.049338,0.052669,0.052669,888985357
2021-02-15,0.052422,0.057119,0.043286,0.050898,0.050898,980945718
2021-02-16,0.050962,0.053696,0.047797,0.049418,0.049418,599305203
2021-02-17,0.049410,0.053781,0.046163,0.051388,0.051388,687061192
2021-02-18,0.051326,0.057123,0.051254,0.054591,0.054591,772619756
2021-02-19,0.054581,0.056058,0.051432,0.053617,0.053617,787414485
2021-02-20,0.053599,0.059848,0.050709,0.053679,0.053679,1104770855
2021-02-21,0.053615,0.056227,0.052370,0.054836,0.054836,661392736
2021-02-22,0.054831,0.054895,0.041225,0.050226,0.050226,976519456
2021-02-23,0.050184,0.050268,0.035723,0.041850,0.041850,1053167424
2021-02-24,0.041920,0.046383,0.040079,0.042859,0.042859,649137131
2021-02-25,0.042864,0.044650,0.039238,0.039266,0.039266,485891532
2021-02-26,0.039375,0.042151,0.036674,0.039515,0.039515,561151314
2021-02-27,0.039533,0.042502,0.039533,0.040928,0.040928,458491018
2021-02-28,0.040920,0.041126,0.036561,0.039655,0.039655,420388946
2021-03-01,0.039690,0.045668,0.039560,0.045668,0.045668,481855762
2021-03-02,0.045663,0.046524,0.041640,0.043813,0.043813,433571005
2021-03-03,0.043818,0.054385,0.043319,0.053245,0.053245,703838899
2021-03-04,0.053164,0.054972,0.047350,0.050344,0.050344,704007539
2021-03-05,0.050273,0.053428,0.046169,0.052140,0.052140,365810686
2021-03-06,0.052102,0.054562,0.049602,0.053128,0.053128,529922166
2021-03-07,0.053225,0.059897,0.053225,0.056920,0.056920,893835718
2021-03-08,0.056853,0.066110,0.055801,0.065401,0.065401,1055896234
2021-03-09,0.065399,0.067827,0.062438,0.064625,0.064625,856921608
2021-03-10,0.064606,0.065251,0.060509,0.061425,0.061425,630581774
2021-03-11,0.061354,0.069701,0.058393,0.067276,0.067276,860426037
2021-03-12,0.067285,0.072374,0.063868,0.065898,0.065898,920709420
2021-03-13,0.065868,0.069993,0.062091,0.067593,0.067593,685817038
2021-03-14,0.067562,0.068603,0.064826,0.066633,0.066633,608847066
2021-03-15,0.066479,0.083332,0.066081,0.078761,0.078761,1807745888
2021-03-16,0.078847,0.082991,0.070427,0.074382,0.074382,1253273413
2021-03-17,0.074371,0.077482,0.071479,0.076634,0.076634,852405744
2021-03-18,0.076608,0.082589,0.076608,0.077767,0.077767,791847862
2021-03-19,0.077740,0.085825,0.076051,0.081345,0.081345,857712793
2021-03-20,0.081336,0.094388,0.081151,0.089368,0.089368,1276205949
2021-03-21,0.089581,0.094844,0.088329,0.094099,0.094099,1308218692
2021-03-22,0.093920,0.099023,0.084927,0.088895,0.088895,1469340245
2021-03-23,0.088935,0.091095,0.080346,0.083454,0.083454,1236240316
2021-03-24,0.083378,0.095411,0.081661,0.085354,0.085354,1437149714
2021-03-25,0.085165,0.086322,0.077010,0.081403,0.081403,1194756884
2021-03-26,0.081371,0.090788,0.081371,0.089986,0.089986,931629276
